CiteKey,Lat,Lon,Class,FishFamily,FishSp,SppGrouped,HighlyMigratory,HabitatZone,Lifestage,HabitatType,HabitatSpecies,HabitatFunction,MicroHabitat,ObsType,DepthZone,AreaOfStudy,FisheryImpact,FishStock,FishStockReason,NotesFishery,,Notes
conway1997vertical,53.7,-4.9,actinopterygii,gadidae,gadus morhua,,,epipelagic,larvae,,,physiochem,influenced by seawater density; vertical mixing; wind mixing near the surface,catch-survey,<200,>100ha,,,,,,
conway1997vertical,54.2,-4,actinopterygii,gadidae,gadus morhua,,,epipelagic,larvae,,,physiochem,influenced by seawater density; vertical mixing; wind mixing near the surface,catch-survey,<200,>100ha,,,,,,
conway1997vertical,53.7,-4.9,actinopterygii,pleuronectidae,glyptocephalus cynoglossus,,,epipelagic,larvae,,,physiochem,influenced by seawater density; vertical mixing; wind mixing near the surface,catch-survey,<200,>100ha,,,,,,
conway1997vertical,53.7,-4.9,actinopterygii,pleuronectidae,hippoglossoides platessoides,,,epipelagic,eggs,,,physiochem,influenced by seawater density; vertical mixing; wind mixing near the surface,catch-survey,<200,>100ha,,,,,,
conway1997vertical,53.7,-4.9,actinopterygii,pleuronectidae,hippoglossoides platessoides,,,epipelagic,larvae,,,physiochem,influenced by seawater density; vertical mixing; wind mixing near the surface,catch-survey,<200,>100ha,,,,,,
conway1997vertical,54.2,-4,actinopterygii,pleuronectidae,hippoglossoides platessoides,,,epipelagic,larvae,,,physiochem,influenced by seawater density; vertical mixing; wind mixing near the surface,catch-survey,<200,>100ha,,,,,,
conway1997vertical,53.7,-4.9,actinopterygii,gadidae,merlangius merlangus,,,epipelagic,larvae,,,physiochem,influenced by seawater density; vertical mixing; wind mixing near the surface,catch-survey,<200,>100ha,,,,,,
conway1997vertical,54.2,-4,actinopterygii,gadidae,merlangius merlangus,,,epipelagic,larvae,,,physiochem,influenced by seawater density; vertical mixing; wind mixing near the surface,catch-survey,<200,>100ha,,,,,,
conway1997vertical,53.7,-4.9,actinopterygii,pleuronectidae,pleuronectes platessa,,,epipelagic,eggs,,,physiochem,influenced by seawater density; vertical mixing; wind mixing near the surface,catch-survey,<200,>100ha,,,,,,
conway1997vertical,53.7,-4.9,actinopterygii,pleuronectidae,pleuronectes platessa,,,epipelagic,larvae,,,physiochem,influenced by seawater density; vertical mixing; wind mixing near the surface,catch-survey,<200,>100ha,,,,,,
conway1997vertical,54.2,-4,actinopterygii,pleuronectidae,pleuronectes platessa,,,epipelagic,eggs,,,physiochem,influenced by seawater density; vertical mixing; wind mixing near the surface,catch-survey,<200,>100ha,,,,,,
